V_cell,min_gentime,transporter_density,K,V_max
3.0000202804941352e-21,1.1002826390312375,0.0017801549659697236,3.977648262012339e-5,3.217704441851588e-5
4.153489324434922e-21,0.9209164851550525,0.0018856088704351296,4.098740951842046e-5,3.528550509016297e-5
5.632010697273777e-21,1.5121634889155713,0.0010466310395148253,3.793423804480837e-5,2.0126166315199883e-5
7.498295143215426e-21,0.5331189631170068,0.002696214988368191,4.685472955617707e-5,5.2967936697134065e-5
9.822282287144428e-21,2.4819209240606734,0.0005524022188109575,3.616031144530973e-5,1.1035878160545641e-5
1.2681479466402159e-20,0.43191960766556686,0.0029267472391336677,5.089776009423991e-5,5.924329053710174e-5
1.6161295879582132e-20,3.9922893356693536,0.0003048851104011958,3.508365297791194e-5,6.234700115188182e-6
2.035537237090196e-20,4.413434680541917,0.00027013119574330314,3.499675226725813e-5,5.567302684277692e-6
2.5365907131529782e-20,1.818723157846008,0.0006245639435182286,3.7863587580970905e-5,1.2947673523882594e-5
3.130397756803641e-20,4.997225589019733,0.00022237108552662597,3.490078954977042e-5,4.629558626391648e-6
3.8289858561713626e-20,3.968123364226349,0.0002744844909920846,3.548673416226012e-5,5.731173021372884e-6
4.645333731993167e-20,3.0730659596675847,0.0003468727835897949,3.632724622206137e-5,7.255551401840681e-6
5.593402500129285e-20,1.2975265499890898,0.000803946116391234,4.110117867303987e-5,1.6830030646775878e-5
6.688166527952626e-20,3.115015451139235,0.00033118728042454273,3.658168573163337e-5,6.9331591496231925e-6
7.945643999641724e-20,1.0720956321311514,0.0009490230858222964,4.372723099512464e-5,1.9852836949642853e-5
9.382927204122622e-20,1.8956204091525901,0.0005348382243557215,3.9418407763377786e-5,1.117334006309715e-5
1.1018212558274289e-19,2.6758456015401824,0.00037875913468273984,3.781315479361325e-5,7.89760616611536e-6
1.2870830377011092e-19,0.6575732825517565,0.0015188246258061764,5.310076742516753e-5,3.159318704072411e-5
1.4961274400965977e-19,2.3108983838181985,0.0004356608089110419,3.911136276903683e-5,9.036274667213996e-6
1.7311231091703424e-19,3.2664080966245095,0.0003116257815237977,3.760674033459429e-5,6.442394622732142e-6
1.9943608703679394e-19,6.919582638160265,0.00015415168300269143,3.5422701831538016e-5,3.1751648865963053e-6
2.288256614152489e-19,2.564233843164988,0.00039938378941892965,3.9450992077673345e-5,8.193213098805096e-6
2.615354161065164e-19,6.260245122438463,0.00017473158975777792,3.598894421828314e-5,3.568875825878278e-6
2.978328106865597e-19,4.823434580510833,0.00022577841489932745,3.700861743072523e-5,4.589823692790977e-6
3.3799866484520837e-19,0.9616886981341022,0.001054990727443145,5.226588965991856e-5,2.1339233835495143e-5
3.823274391218407e-19,2.5531981277443196,0.0004205295146657474,4.1042637762438114e-5,8.460787884280459e-6
4.3112751384645203e-19,0.7919251454291135,0.0012954008682381547,5.863189308494294e-5,2.5916349015721614e-5
4.84721466344238e-19,0.1814055456837726,0.005553413904535875,0.00014701850987482658,0.00011044829747534611
5.434463464584686e-19,1.8032234957248021,0.0006116394748960087,4.610779896982862e-5,1.2089271483400761e-5
6.076539504434205e-19,5.199133575962162,0.00026078784895919446,3.883992675912244e-5,5.121246430347155e-6
6.777110932762997e-19,1.6435330478490555,0.0006963189183570069,4.904638418260719e-5,1.3581871936494379e-5
7.539998794344956e-19,2.168643032276847,0.0005646128097083592,4.6493451388343434e-5,1.0935678353396836e-5
8.369179721821221e-19,1.29134772246985,0.000906320475929477,5.5379857186138645e-5,1.7426155406412096e-5
9.268788614075547e-19,2.160611059530363,0.0006122917945845289,4.8663908765230234e-5,1.1683818915682427e-5
1.0243121300516382e-18,0.7141062731581459,0.0016123374936982562,7.552404545366896e-5,3.052608648012702e-5
1.1296637191642824e-18,0.24789189265375652,0.00440203643998757,0.0001528233990575615,8.266851166803324e-5
1.2433961916253998e-18,1.9601303619279613,0.0007601346378077703,5.442082002586337e-5,1.4155689890248986e-5
1.3659889945644884e-18,0.5243421315765241,0.002284310838820913,9.927477121480053e-5,4.217281875963999e-5
1.4979387205115397e-18,1.5479557369207129,0.0009988804004765605,6.292368737425382e-5,1.827724942966031e-5
1.6397593673105746e-18,1.8120537472251672,0.0009558387446809364,6.251181058010458e-5,1.7329459402767065e-5
1.791982596825683e-18,6.084217299521108,0.0006010480712383602,5.213960826566762e-5,1.0794334395108507e-5
1.955157992468192e-18,1.5266899581340847,0.0012111085465803687,7.262756158412868e-5,2.153968662382362e-5
2.1298533155723824e-18,0.6082336554530198,0.0023934512455329234,0.0001135076352389411,4.214383898662571e-5
2.316654760646008e-18,3.2653441028501056,0.0010092384168039284,6.795191384734145e-5,1.7588962988851487e-5
2.5161672095208883e-18,8.26188129853566,0.0009105600652829478,6.542003101818945e-5,1.5702761298035107e-5
2.729014484427734e-18,1.0979689010917157,0.0019353918355017742,0.00010371625292145114,3.301730587339724e-5
2.955839600018488e-18,1.7170884899341192,0.0017082725478133394,9.710771766030571e-5,2.8821720111447168e-5
3.1973050143585975e-18,1.1445873101565056,0.0022156038770739755,0.00011832860612851112,3.6959833496800255e-5
3.4540928789106664e-18,3.6540276931127513,0.0017038081251988116,0.00010034448136425449,2.8094375822028546e-5
3.7269052875302855e-18,1.846251415009362,0.0022365948787528064,0.00012364773976715696,3.6444590893602743e-5
4.016464524493985e-18,1.561369022637738,0.0026023724795809513,0.0001411226269032543,4.189374156369361e-5
4.323513311578521e-18,4.152863409520597,0.002396143792040142,0.00013503311162235625,3.809904732499398e-5
4.648815054210175e-18,1.0407110642068034,0.0035993266211435736,0.00018998086419343293,5.651092929583198e-5
4.9931540867018384e-18,5.768073457971159,0.002981357425279462,0.00016617369881730392,4.620877473752567e-5
5.357335916595357e-18,0.5899033241575805,0.005312930732142517,0.0002758994007855471,8.127069569139677e-5
5.742187468125692e-18,0.40204201037894577,0.006812433784890895,0.0003517187070835408,0.00010282121519374208
6.1485573248231944e-18,2.8296639251490547,0.004593386290912624,0.00025287702467992497,6.838900517177096e-5
6.577315971269608e-18,0.8619780289572814,0.00624744415011493,0.0003388220462949051,9.173223351477381e-5
7.029356034022832e-18,2.219088491634139,0.005980367729453474,0.0003323082892583022,8.657815411070775e-5
7.505592521725224e-18,1.1461361300200694,0.007308784354312273,0.0004068569919631899,0.00010429950571015267
