BGE,r,response,rM,rG,rX,concentration
0.0,0.06549511072213102,1,7.94648379871356e-15,1.5766488530357753e-16,5.111402101992337e-18,1
0.2950949658610221,0.013971449720318873,2,4.4348582226597825e-16,2.4955218700262533e-17,1.436466606844825e-18,1
0.0,0.12122894510222863,1,1.4351354819317417e-14,3.1594738906721065e-16,2.3123029256245315e-18,1
0.0,0.12854739484106945,1,2.2528247875093824e-14,3.578805060948457e-16,3.862114004709076e-18,1
0.0,0.11519944892609037,1,9.894132300349164e-15,2.8481061161667544e-16,2.1609328030208317e-18,1
0.0,0.1042657891526541,1,2.569089395474525e-14,3.028105502622446e-16,3.1576151937295478e-18,1
0.30614515226621164,0.016953043822647614,1,8.213361462698982e-16,3.200919669743013e-17,4.924696135105622e-19,1
0.34927158087609395,0.015925738480148086,1,1.3746346041647336e-16,2.5327410600835666e-17,6.523926560416012e-20,1
0.21429002969651795,0.014845132197060594,1,2.1633236851428173e-15,3.134325521058845e-17,2.199498880307947e-19,1
0.30925566353394285,0.014634963372201184,2,3.154505106188418e-16,2.5222551895675252e-17,1.528751825436049e-18,1
0.3500652741401926,0.017071657571917993,2,8.256400615990894e-17,2.6006163213948748e-17,6.89765511433228e-19,1
0.3260284141554203,0.015564228617357552,2,2.2145268063288313e-16,2.5920803392348697e-17,1.0873538507147913e-18,1
0.12299581331576312,0.012627674572148508,1,3.676101185173977e-15,2.8520522244030614e-17,2.2889349450919745e-19,1
0.21379497778887105,0.014214410858828928,1,2.178062872170315e-15,3.00972203495558e-17,2.39636277881095e-19,1
0.0,0.12567388152611955,1,1.887754930314494e-14,3.408504483613413e-16,4.834070239091093e-18,1
0.0,0.10530395374943691,2,3.301653644802385e-14,3.1588019517428647e-16,1.1825087919092203e-16,1
0.0,0.12062279514622215,1,4.1085871611100936e-14,3.719851409352099e-16,4.202651844953685e-18,1
0.0,0.05732636179872508,1,7.6843303960319e-15,1.3956916782038113e-16,8.006777169888178e-19,1
0.0,0.3038531708861258,2,3.216464269534708e-14,8.644926077732633e-16,5.408559503604596e-16,1
0.1671039426527401,0.01179519722442472,1,2.968436795640414e-15,2.601949684012261e-17,1.2398948119375318e-19,1
0.0,0.15956646929391669,1,1.4862785542410652e-13,5.764706954378102e-16,1.0199499841510403e-17,1
0.0,0.06466272446443075,2,7.315631672716587e-15,1.5393267723370056e-16,2.6523609407041383e-17,1
0.0,0.020085317977026285,2,6.479938348160837e-15,4.8680369858075804e-17,6.38940661456429e-18,1
0.13411461413508896,0.00871569800873329,1,3.468928803229332e-19,9.672970221790545e-18,6.1009675776330025e-21,1
0.09858320660801427,0.00796913827230521,1,1.9540909561075934e-19,8.677995335266354e-18,2.2491736225899214e-21,1
0.0,0.3237382855340204,1,1.0886480478553983e-13,1.075049808503959e-15,5.3073159034370296e-17,1
0.0,0.06598977885847082,1,7.163378733353098e-15,1.5582151791190447e-16,1.337699309593706e-18,1
0.08386468341948497,0.02364362064310109,1,8.106068532923273e-15,5.896495942808985e-17,1.9116090243195865e-18,1
0.33786552184323576,0.020197955473099025,2,4.4221804217787247e-16,3.597361111835273e-17,2.070704798054596e-18,1
0.0,0.12431275474357625,1,1.433243710106749e-14,3.2355735588150686e-16,2.3679974783807793e-18,1
0.0,0.13133561182149084,1,2.2503969531396967e-14,3.6524895325360884e-16,3.9416315600946595e-18,1
0.0210569912465152,0.07072739413079958,1,1.0098540289587601e-14,1.75847724968999e-16,1.3342028060862004e-18,1
0.0,0.10732840120338696,1,2.5672766448665492e-14,3.114851031702247e-16,3.2480707608731877e-18,1
0.35108503979137695,0.02244237417954687,1,8.178133605153776e-16,4.219785758814515e-17,6.49224746682756e-19,1
0.386595723533519,0.022056949153978107,1,1.3668454300002617e-16,3.4879382370541454e-17,8.98435819769801e-20,1
0.285916834876935,0.019580093129499154,1,2.1568856503696762e-15,4.123002192189918e-17,2.8932983011175503e-19,1
0.35247996817862526,0.020829545082466296,2,3.142317306156196e-16,3.575987335327699e-17,2.167424291257289e-18,1
0.38082978863806477,0.023657180800090903,2,8.206734923019832e-17,3.5821455672775695e-17,9.500980398047398e-19,1
0.3648983034318809,0.02199416069655096,2,2.204924396202424e-16,3.6470440716542555e-17,1.5299014289851754e-18,1
0.2227925100259579,0.0170534951596154,1,3.668164644399159e-15,3.844711037893071e-17,3.0856003873688535e-19,1
0.28648136192474466,0.019069333271417233,1,2.172264714787715e-15,4.027910766958128e-17,3.207052121825855e-19,1
0.0,0.1285749413204421,1,1.8855527449558746e-14,3.4831184839308003e-16,4.939890642170464e-18,1
0.0,0.1081096963285345,2,3.299122479010154e-14,3.2404796183499354e-16,1.2130851181053595e-16,1
0.0,0.12322628031664433,1,4.105528661155893e-14,3.7973106472775396e-16,4.290164536551429e-18,1
0.10026939207292468,0.01850588748832288,1,7.784769878703036e-15,4.6145011423535576e-17,2.647238138194589e-19,1
0.0,0.3064638605181926,2,3.214950583256189e-14,8.718066353624229e-16,5.454318545464849e-16,1
0.2550492479544041,0.016588112352556587,1,2.962854915180076e-15,3.652968276666038e-17,1.7407317452143563e-19,1
0.0,0.1610443711999116,1,1.4852220183294425e-13,5.813963717447035e-16,1.0286649865109319e-17,1
0.02785969765944312,0.023767225416874854,2,7.46240472731981e-15,5.860946916437388e-17,1.009879575673068e-17,1
0.08260436848879461,0.024182552881864047,2,6.4667899598767124e-15,5.849182678893194e-17,7.677182118228117e-18,1
0.21970310716496602,0.012470876634342674,1,3.418995006261973e-19,1.3643316739363974e-17,8.605157585487666e-21,1
0.15107759578275295,0.011421322141883947,1,1.9257706725257567e-19,1.2258492967087717e-17,3.177171451363946e-21,1
0.0,0.32542472744871914,1,1.0881353164650306e-13,1.0804168099191172e-15,5.333811765990669e-17,1
0.11021677584102127,0.02527711922454622,1,7.323069494403854e-15,6.20434592638528e-17,5.326317811188542e-19,1
0.0,0.10884610806949338,1,7.781177807165238e-15,2.6057214897717623e-16,8.447594576548221e-18,1
0.2165880362786132,0.009155552731613411,2,4.444664271938746e-16,1.6389424273115223e-17,9.434043017821504e-19,1
0.0,0.11911236251352883,1,1.4364339120908865e-14,3.1071200328063295e-16,2.2739870594709373e-18,1
0.0,0.12663744519878203,1,2.2544878787890597e-14,3.5282340943163786e-16,3.807539688663577e-18,1
0.0,0.1128998519531017,1,9.904700866931573e-15,2.7942340970685435e-16,2.1200586893164697e-18,1
0.0,0.10218103800681112,1,2.5703233563605573e-14,2.968985141307155e-16,3.095966301051842e-18,1
0.22732056902210981,0.012743069369408909,1,8.240380088472254e-16,2.4131141968447034e-17,3.7126374245198466e-19,1
0.2879066114906271,0.010795954585735444,1,1.3811519945577641e-16,1.725068968189083e-17,4.443495404045321e-20,1
0.09535922716342901,0.011286120367118782,1,2.1681629017533818e-15,2.3869918779427836e-17,1.6750608472427228e-19,1
0.2382803662452936,0.009723528894061913,2,3.1641689036304423e-16,1.680930343207529e-17,1.018820514767171e-18,1
0.297165242680316,0.01161606441402359,2,8.297548966788966e-17,1.778355862489609e-17,4.716760911284658e-19,1
