concentration,BGE,response
0.1,0.41548305778153455,positive
0.1,0.43110200482148975,positive
0.1,0.4382456441600071,positive
0.1,0.4146084061206428,positive
0.1,0.4215700656078514,positive
0.1,0.43901332368679646,positive
0.1,0.44192019207212696,positive
0.1,0.44175082726097126,positive
0.1,0.44043292773175785,positive
0.1,0.4151767267522217,positive
0.1,0.383446269462674,positive
0.1,0.38713234347183545,positive
0.1,0.3958310553124211,positive
0.1,0.3867701488352196,positive
0.1,0.4011380836895045,positive
0.1,0.34007283505003794,positive
0.1,0.0,positive
0.1,0.38085120519085874,positive
0.1,0.37938166482906477,positive
0.1,0.3866956007690302,positive
0.1,0.3946639101260343,positive
0.1,0.4031343644595702,positive
0.1,0.3933004505397557,positive
0.1,0.3717646953422097,positive
0.1,0.40474504054486915,positive
0.1,0.4059515437970246,positive
0.1,0.40567995974283866,positive
0.1,0.4054511822811126,positive
0.1,0.38016257826740485,positive
0.1,0.4736677764738559,positive
0.1,0.47389936120665854,positive
0.1,0.47456900214552167,positive
0.1,0.47387891978527613,positive
0.1,0.4763722862874108,positive
0.1,0.4731012986823955,positive
0.1,0.0,positive
0.1,0.47332488311571785,positive
0.1,0.4737423388359242,positive
0.1,0.4733263177615511,positive
0.1,0.4740061533578431,positive
0.1,0.47466044649335193,positive
0.1,0.47462725957070856,positive
0.1,0.4735377562776264,positive
0.1,0.47606005592947254,positive
0.1,0.47231512700457684,positive
0.1,0.48578345162089737,positive
0.1,0.47744295920413243,positive
0.1,0.47365672679229043,positive
0.1,0.42669044515280335,positive
0.1,0.4382304536567015,positive
0.1,0.4411733665413376,positive
0.1,0.41922921101109883,positive
0.1,0.44374165336724086,positive
0.1,0.39964085717116915,positive
0.1,0.0,positive
0.1,0.3964323576077236,positive
0.1,0.4108051441738827,positive
0.1,0.40986089333545217,positive
0.1,0.4377270837556786,positive
0.1,0.44444680870821296,positive
0.1,0.4262275942511957,positive
0.1,0.4215012376777648,positive
0.1,0.444273534099464,positive
0.1,0.11827913487960269,positive
0.1,0.0,positive
0.1,0.4471915404371387,positive
0.1,0.42000569428117035,positive
0.1,0.0,positive
0.1,0.4394595390848327,positive
0.1,0.44064489583722843,positive
0.1,0.43689060567475435,positive
0.1,0.45333886090239656,positive
0.1,0.4175678095014623,positive
0.1,0.0,positive
0.1,0.4211154012330247,positive
0.1,0.42578460051767575,positive
0.1,0.0,positive
0.1,0.44448236693210114,positive
0.1,0.0,positive
0.1,0.0,positive
0.1,0.4233084969083781,positive
0.1,0.45290948261347225,positive
0.1,0.0,positive
0.1,0.0,positive
0.1,0.4546040845555891,positive
0.1,0.4268451074093626,positive
0.1,0.34353414285644246,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.4265470809334375,negative
0.1,0.4251846913074808,negative
0.1,0.4030865080298793,negative
0.1,0.3970465441017549,negative
0.1,0.3767988723512715,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.43792145101341523,negative
0.1,0.43830519695351416,negative
0.1,0.42297100864880527,negative
0.1,0.40762599282870554,negative
0.1,0.3087506626310942,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.4008412952013886,negative
0.1,0.40245000963922056,negative
0.1,0.38432339219017586,negative
0.1,0.38282734828688336,negative
0.1,0.47278809753807105,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.47530819668460883,negative
0.1,0.47820856096788017,negative
0.1,0.4736190336328518,negative
0.1,0.4737815632956263,negative
0.1,0.39317427703525587,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.44464311863917977,negative
0.1,0.44273881845155816,negative
0.1,0.42201709741894033,negative
0.1,0.41924799619980124,negative
0.1,0.4126401645439811,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.27239891374384984,negative
0.1,0.4494221884355921,negative
0.1,0.4541383245827828,negative
0.1,0.27239891374384984,negative
0.1,0.4237018051550656,negative
