val,meas,response,concentration
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.34855432699429534,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.25919327137594356,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.27621156779812817,BGE,positive,1.0e-7
0.42420931361916653,BGE,positive,1.0e-5
0.429038894084584,BGE,negative,1.0e-5
0.4212235691242883,BGE,positive,1.0e-5
0.41727992088860516,BGE,positive,1.0e-5
0.423523119383268,BGE,positive,1.0e-5
0.41425457449672554,BGE,positive,1.0e-5
0.42913365244913587,BGE,positive,1.0e-5
0.42878632010499884,BGE,positive,1.0e-5
0.42829313000375635,BGE,positive,1.0e-5
0.4287561992753107,BGE,negative,1.0e-5
0.4282658976933926,BGE,negative,1.0e-5
0.4291403429516477,BGE,negative,1.0e-5
0.42620400264018654,BGE,positive,1.0e-5
0.4281100695892466,BGE,positive,1.0e-5
0.4189662626140579,BGE,positive,1.0e-5
0.40850082944784355,BGE,negative,1.0e-5
0.40627869182108894,BGE,positive,1.0e-5
0.42371094586542357,BGE,positive,1.0e-5
0.4044895668322706,BGE,negative,1.0e-5
0.42642474371875816,BGE,positive,1.0e-5
0.36046773445500435,BGE,positive,1.0e-5
0.4234898748396209,BGE,negative,1.0e-5
0.4244893951656868,BGE,negative,1.0e-5
0.42300665173733676,BGE,positive,1.0e-5
0.4224436823430101,BGE,positive,1.0e-5
0.3817777494082834,BGE,positive,1.0e-5
0.42490263803812034,BGE,positive,1.0e-5
0.4349746002678757,BGE,positive,1.0e-5
0.43932556263991274,BGE,negative,1.0e-5
0.43358675234110894,BGE,positive,1.0e-5
0.4306417418046444,BGE,positive,1.0e-5
0.43615795271303615,BGE,positive,1.0e-5
0.4284712072200973,BGE,positive,1.0e-5
0.44027444436710245,BGE,positive,1.0e-5
0.4398035762301338,BGE,positive,1.0e-5
0.43899518373210594,BGE,positive,1.0e-5
0.439793978802104,BGE,negative,1.0e-5
